Timestamp	Q1	Q2	Q1 - Uppercase	Q2 - Uppercase	Q1 - Format Check	Q2 - Format Check	Q1 - Aligns?	Q2 - Aligns?
13/06/2024 00:16:28	CDEBA	EACBD	CDEBA	EACBD	TRUE	TRUE	TRUE	TRUE
13/06/2024 00:21:18	Cdeba	Edcba	CDEBA	EDCBA	TRUE	TRUE	TRUE	FALSE
13/06/2024 13:47:42	Cdeba	Eacbd	CDEBA	EACBD	TRUE	TRUE	TRUE	TRUE
13/06/2024 17:48:31	cdeba	cbdea	CDEBA	CBDEA	TRUE	TRUE	TRUE	FALSE
13/06/2024 20:44:56	Cdeab	Eabcd	CDEAB	EABCD	TRUE	TRUE	FALSE	FALSE
13/06/2024 20:49:08	Cdeba	Acebd	CDEBA	ACEBD	TRUE	TRUE	TRUE	FALSE
13/06/2024 21:05:14	Cdebal	Eacbd	CDEBAL	EACBD	FALSE	TRUE	FALSE	TRUE
13/06/2024 21:26:09	cadeba	cdeba	CADEBA	CDEBA	FALSE	TRUE	FALSE	FALSE
14/06/2024 08:07:42	cdeba	abced	CDEBA	ABCED	TRUE	TRUE	TRUE	FALSE
14/06/2024 08:09:35	acdeb	abcde	ACDEB	ABCDE	TRUE	TRUE	FALSE	FALSE
14/06/2024 08:13:33	cdeba	eacdb	CDEBA	EACDB	TRUE	TRUE	TRUE	FALSE
14/06/2024 09:02:37	edabc	bdcea	EDABC	BDCEA	TRUE	TRUE	FALSE	FALSE
14/06/2024 09:07:12	cdeba	aecbd	CDEBA	AECBD	TRUE	TRUE	TRUE	FALSE
14/06/2024 13:22:10	cdeba	ecabd	CDEBA	ECABD	TRUE	TRUE	TRUE	FALSE
14/06/2024 16:23:40	Dceba	Edcab	DCEBA	EDCAB	TRUE	TRUE	FALSE	FALSE
14/06/2024 18:31:55	cdeba	aecbd	CDEBA	AECBD	TRUE	TRUE	TRUE	FALSE
14/06/2024 21:36:45	Cdeba	Edcba	CDEBA	EDCBA	TRUE	TRUE	TRUE	FALSE
26/06/2024 14:27:21	cdeba	all the same to me	CDEBA	ALL THE SAME TO ME	TRUE	FALSE	TRUE	FALSE
26/06/2024 14:27:33	cdeba	aecbd	CDEBA	AECBD	TRUE	TRUE	TRUE	FALSE
26/06/2024 14:33:23	cdeba	cadeb	CDEBA	CADEB	TRUE	TRUE	TRUE	FALSE
26/06/2024 14:34:22	cdeba	eabcd	CDEBA	EABCD	TRUE	TRUE	TRUE	FALSE
26/06/2024 14:36:33	cdeba	aebcd	CDEBA	AEBCD	TRUE	TRUE	TRUE	FALSE
26/06/2024 14:42:03	cdeba	eacbd	CDEBA	EACBD	TRUE	TRUE	TRUE	TRUE
26/06/2024 14:44:13	cdeba	eacbd	CDEBA	EACBD	TRUE	TRUE	TRUE	TRUE
26/06/2024 14:47:12	Cdeba	Bcdea	CDEBA	BCDEA	TRUE	TRUE	TRUE	FALSE
26/06/2024 14:52:54	edcba	edcba	EDCBA	EDCBA	TRUE	TRUE	FALSE	FALSE
26/06/2024 14:53:11	CDEBA	AECBD	CDEBA	AECBD	TRUE	TRUE	TRUE	FALSE
26/06/2024 14:54:08	CDEBA	ECDAB	CDEBA	ECDAB	TRUE	TRUE	TRUE	FALSE
26/06/2024 15:01:48	Cdeba	Aebcd	CDEBA	AEBCD	TRUE	TRUE	TRUE	FALSE
26/06/2024 15:04:55	cdeba	ecdba	CDEBA	ECDBA	TRUE	TRUE	TRUE	FALSE
26/06/2024 15:48:00	cdeba	eacbd	CDEBA	EACBD	TRUE	TRUE	TRUE	TRUE
26/06/2024 15:48:54	cdeba	abcde	CDEBA	ABCDE	TRUE	TRUE	TRUE	FALSE
26/06/2024 16:11:05	cdeba	ecabd	CDEBA	ECABD	TRUE	TRUE	TRUE	FALSE
26/06/2024 16:19:10	CDEBA	AEBCD	CDEBA	AEBCD	TRUE	TRUE	TRUE	FALSE
26/06/2024 16:35:33	cdbea	aecbd	CDBEA	AECBD	TRUE	TRUE	FALSE	FALSE
26/06/2024 16:54:18	cdeba	EACBD	CDEBA	EACBD	TRUE	TRUE	TRUE	TRUE
26/06/2024 17:52:38	CDEBA	EACBD	CDEBA	EACBD	TRUE	TRUE	TRUE	TRUE
26/06/2024 17:59:29	cdeba	eacbd	CDEBA	EACBD	TRUE	TRUE	TRUE	TRUE
26/06/2024 18:22:59	cdeba	ACBED	CDEBA	ACBED	TRUE	TRUE	TRUE	FALSE
26/06/2024 18:55:43	cdeba	abcde	CDEBA	ABCDE	TRUE	TRUE	TRUE	FALSE
26/06/2024 20:43:32	cdeba	abcde	CDEBA	ABCDE	TRUE	TRUE	TRUE	FALSE
26/06/2024 20:45:09	cdeba	aecbd	CDEBA	AECBD	TRUE	TRUE	TRUE	FALSE
26/06/2024 23:12:54	cdeba	aecbd	CDEBA	AECBD	TRUE	TRUE	TRUE	FALSE
27/06/2024 00:55:10	cdeba	ecabd	CDEBA	ECABD	TRUE	TRUE	TRUE	FALSE
27/06/2024 12:15:55	cdeba	aecbd	CDEBA	AECBD	TRUE	TRUE	TRUE	FALSE
27/06/2024 16:09:03	cdeba	aecbd	CDEBA	AECBD	TRUE	TRUE	TRUE	FALSE
28/06/2024 11:14:22	cdeba	aebcd	CDEBA	AEBCD	TRUE	TRUE	TRUE	FALSE
28/06/2024 15:05:52	CDEBA	AECBD	CDEBA	AECBD	TRUE	TRUE	TRUE	FALSE
28/06/2024 15:08:08	CDEBA	AECBD	CDEBA	AECBD	TRUE	TRUE	TRUE	FALSE
28/06/2024 15:10:20	CDEBA	AECBD	CDEBA	AECBD	TRUE	TRUE	TRUE	FALSE
28/06/2024 17:45:24	cdeba	aebcd	CDEBA	AEBCD	TRUE	TRUE	TRUE	FALSE
29/06/2024 15:17:26	cdeba	eacbd	CDEBA	EACBD	TRUE	TRUE	TRUE	TRUE
